name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at,latitude,longitude,is_market_coverage
"Bán nhà riêng chính chủ trong ngõ tại Phố Khâm Thiên, gần mặt phố, cách đường 50m","Nhà riêng chính chủ, đang ở, có nhu cầu bán, đầy đủ nội thất. Nhà thoáng, 3 mặt thoáng, có sân trước nhà, mặt sau chưa xây hết đất, có thể xây làm vườn hoặc khu vui chơi Diện tích 63m, thực tế 75m, do sau nhà là khoảng không rộng. 4 tầng, 5 phòng ngủ, 3wc, nhà đẹp, có thể phá đi xây cho thuê Giá bán 12 tỷ. Giá thỏa thuận, do gia đình có nhu cầu lên chung cư. liên hệ chính chủ: [phone_number]",Nhà,Hà Nội,Đống Đa,Khâm Thiên,Khâm Thiên,,11032351497,66.2,4.0,,,,5.0,3.0,Đông Nam,,2026-02-03T07:38:35.472000,21.021777,105.840484,False
Căn hộ chung cư Trung tâm Quảng Ninh,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Quảng Ninh,Trung tâm,,,,2150050638,60.0,2.0,,,,1.0,2.0,,,,20.990588,107.04058,True
"Hàng mới ra thị trường!! Lô đất nhà phố 90m2 mặt tiền đường D (16m) giá chỉ 9,7 tỷ. Có hỗ trợ vay","Hàng mới ra thị trường!! KDC Nam Long, Phước Long B, Q9 (đối diện The Global City) Nền đất nhà phố mặt tiền đường 16m - Diện tích: 4,5m x 20m. 90m2 - Sổ hồng riêng - Giá bán: 9,7 tỷ bớt lộc - Có hỗ trợ mua vay bank. ** Giá thị trường các nền 90m2 đường 12m đang 9,2 - 9,8 tỷ. (Lô này đường 16m giá chỉ 9,7 tỷ) Quan tâm hãy liên hệ em nhận thông tin chi tiết, xem đất, xem sổ. - SĐT: [phone_number] gặp Thành Trung Chuyên BĐS Khu vực này.",Đất,Hồ Chí Minh,Thủ Đức,Long Phước,,Khu dân cư Long Thuận,12564875000,90.0,0.0,4.5,,,0.0,0.0,,,2026-03-25T00:49:12.663000,10.857977,106.761303,False
"Nhà 2 tầng hẻm xe hơi Linh Chiểu Thủ Đức chỉ 4,7 tỷ",Kết nối Hoàng Diệu 2 - Võ Văn Ngân - Ga Metro - Xa Lộ Hà Nội - thuận tiện đi chuyển các quận trung tâm. Khu vực cao ráo không ngập nước mùa mưa.,Nhà,Hồ Chí Minh,Thủ Đức,Linh Chiểu,,,9486825040,67.29,2.0,4.0,,4.0,3.0,1.0,,,2025-09-01T11:41:57.465000,10.865025,106.7684,False
Shophouse Trung tâm Hòa Bình,Coverage row generated from market priors and Hugging Face schema.,Shophouse,Hòa Bình,Trung tâm,,,,6001126040,177.78,3.0,,,,4.0,4.0,,,,20.786162,105.328898,True
"Bán nhà mặt phố tô hiệu - quận cầu giấy. sổ đỏ gần 60m. #giá 24 tỷ..... phân lô, vỉa hè","bán nhà mặt phố tô hiệu - quận cầu giấy - diện tích gần 60m, sổ phân lô vuông ( vì đang có việc nên gia đình cần bán nhanh ) giá 24 tỷ có thương lượng. . . . . - hiện trạng nhà cấp 4, đang cho thuê 30tr/tháng liên hệ xem nhà mr thanh: [phone_number]",Nhà,Hà Nội,Cầu Giấy,Dịch Vọng,Tô Hiệu,,14645627148,60.4,4.0,,,,1.0,1.0,,,2025-11-13T01:25:48.315000,21.037395,105.782373,False
Đất Trung tâm Lai Châu,Coverage row generated from market priors and Hugging Face schema.,Đất,Lai Châu,Trung tâm,,,,1316814202,75.54,0.0,,,,0.0,0.0,,,,22.375973,103.445737,True
Cần bán nhanh căn Solary 2PN 67m2; giá bán 3 tỷ 450,Căn 2pn2wc diện tích 67m2. - Hướng mát view sông. - Ban công phòng khách. - Giá chỉ 3 tỷ 450. Gọi ngay,Căn hộ chung cư,Hồ Chí Minh,,,,The Beverly Solari - Vinhomes Grand Park,6680851227,67.48,7.0,,,,1.0,3.0,,,2026-03-27T11:34:35.860000,10.75924,106.691805,False
Biệt thự/Nhà liền kề Trung tâm Đồng Tháp,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Đồng Tháp,Trung tâm,,,,2307125838,59.63,1.0,,,,4.0,3.0,,,,10.476212,105.681316,True
Căn hộ chung cư Trung tâm Phú Thọ,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Phú Thọ,Trung tâm,,,,821615519,58.9,1.0,,,,2.0,3.0,,,,21.257974,105.195978,True
"Bán lô đất SHR (Thống Nhất cũ). DT: 5,6x13=71.5m2. Giá: 2 tỷ 550 bớt lộc","Bán lô đất SHR (thống nhất cũ). DT: 5,6x13=71.5m2. Giá: 2 tỷ 550 bớt lộc. Đương xe hơi. Hướng: Tây Bắc. Sổ riêng full thổ cư, hỗ trợ vay ngân hàng 3 bên. KDC xây dựng tự do. Vị trí gần trung tâm khu D2D Võ Thị Sáu. LH:",Đất,Đồng Nai,Biên Hòa,Thống Nhất,Đặng Văn Trơn,,3020805479,72.09,0.0,5.6,,4.0,0.0,0.0,Tây - Bắc,,2026-03-11T09:27:39.974000,10.956386,106.849458,False
Nhà Trung tâm Ninh Thuận,Coverage row generated from market priors and Hugging Face schema.,Nhà,Ninh Thuận,Trung tâm,,,,1472838785,60.0,4.0,,,,1.0,4.0,,,,11.552809,108.973189,True
"Giỏ hàng bán căn hộ CC Saigon Asiana, Q6 DT 90m2, 3PN, 2WC giá 4.3 tỷ LH [phone_number] Mão","CC Saigon Asiana tọa lạc tại Nguyễn Văn Luông, Q6, TP. HCM, là lựa chọn lý tưởng cho cuộc sống hiện đại. Với diện tích 90m2, căn hộ này có 3PN và 2WC, cực kỳ rộng rãi cho một gia đình hoặc nhóm bạn. Giá bán là 4,3 tỷ VND, rất hợp lý cho không gian sống chất lượng và tiện ích xung quanh. Căn hộ được thiết kế thông minh, tạo cảm giác thoải mái và gần gũi với thiên nhiên. Phong thủy tốt, mang lại tài lộc và sức khỏe cho gia chủ. Nơi đây còn có nhiều tiện ích đi kèm như hồ bơi, phòng gym, và khu vui chơi cho trẻ em. DT 95m2, 3PN, 2WC giá 4.5 tỷ. Tiện ích xung quanh: Gần bệnh viện chuyên khoa ngoại thần kinh quốc tế và bệnh viện Bình Phú. Siêu thị thực phẩm sạch Lekhamart và Co. Op Food Chợ Lớn cũng rất gần. Công viên Bình Phú và công viên Phú Lâm là lựa chọn lý tưởng để thư giãn sau những giờ làm việc căng thẳng. Trường trung cấp Âu Việt và trường mầm non Bình Minh phục vụ cho gia đình có trẻ nhỏ. Liên hệ ngay để biết thêm chi tiết và sắp xếp xem nhà! Hữu Mão [phone_number]",Căn hộ chung cư,Hồ Chí Minh,6,12,Nguyễn Văn Luông,Saigon Asiana,8698043000,90.0,7.0,,,,3.0,2.0,,,2025-08-25T18:26:15.576000,10.772763,106.702733,False
Đất Trung tâm Hải Phòng,Coverage row generated from market priors and Hugging Face schema.,Đất,Hải Phòng,Trung tâm,,,,6306769480,112.68,0.0,,,,0.0,0.0,,,,20.838209,106.694474,True
Biệt thự/Nhà liền kề Biên Hòa Đồng Nai,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Đồng Nai,Biên Hòa,,,,2596593132,41.56,1.0,,,,5.0,4.0,,,,10.940864,106.852378,True
Căn hộ chung cư Trung tâm An Giang,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,An Giang,Trung tâm,,,,995332853,58.7,2.0,,,,4.0,4.0,,,,10.53465,105.101023,True
Biệt thự/Nhà liền kề Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bạc Liêu,Trung tâm,,,,4875821717,125.0,4.0,,,,3.0,3.0,,,,9.275891,105.748033,True
Căn hộ chung cư Trung tâm Cà Mau,Coverage row generated from market priors and Hugging Face schema.,Căn hộ chung cư,Cà Mau,Trung tâm,,,,2596357969,168.38,4.0,,,,3.0,3.0,,,,9.202442,105.136415,True
Nhà Trung tâm Nam Định,Coverage row generated from market priors and Hugging Face schema.,Nhà,Nam Định,Trung tâm,,,,1530874954,57.32,2.0,,,,4.0,4.0,,,,20.427244,106.165536,True
Nhà Nha Trang Khánh Hòa,Coverage row generated from market priors and Hugging Face schema.,Nhà,Khánh Hòa,Nha Trang,,,,13229819429,180.0,2.0,,,,1.0,1.0,,,,12.215118,109.19592,True
Đất Trung tâm Thừa Thiên Huế,Coverage row generated from market priors and Hugging Face schema.,Đất,Thừa Thiên Huế,Trung tâm,,,,3626602206,127.77,0.0,,,,0.0,0.0,,,,16.458087,107.592895,True
Nhà Trung tâm Bạc Liêu,Coverage row generated from market priors and Hugging Face schema.,Nhà,Bạc Liêu,Trung tâm,,,,1584345505,58.08,2.0,,,,4.0,3.0,,,,9.306804,105.753515,True
"Bán đất Lai Uyên, Bàu Bàng vị trí siêu đẹp, xứng đáng để đầu tư hoặc xây nhà ở ngay","Bán đất Lai Uyên, Bàu Bàng vị trí siêu đẹp, xứng đáng để đầu tư hoặc xây nhà ở ngay Diện tích: 5m x 34m, thổ cư 80m2, sổ đỏ trao tay, công chứng nhanh gọn. Vị trí đắc địa: gần Quốc lộ 13, cách ủy ban, công an, trường học, chợ chỉ 150m. Khu dân cư hiện hữu, tiện ích đầy đủ. Tiềm năng tăng giá: Gần khu công nghiệp, trung tâm Lai Uyên. Giá bán: 830 triệu. Liên hệ ngay [phone_number] để biết thêm thông tin chi tiết!",Đất,Bình Dương,Bàu Bàng,Lai Uyên,,,5707800201,178.88,0.0,5.0,34.0,,0.0,0.0,,,2025-10-05T10:07:50.971000,10.978731,106.659472,False
Biệt thự/Nhà liền kề Biên Hòa Đồng Nai,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Đồng Nai,Biên Hòa,,,,4526550443,55.31,2.0,,,,4.0,3.0,,,,10.945415,106.850515,True
Bán nhà mặt tiền Đông Du - DT: 5.3 x 25m - 5 lầu - HĐT: 190 triệu/tháng - giá bán: 70 tỷ TL,"- Bán nhà mặt tiền Đông Du, P. Bến Nghé, Quận 1. - Diện tích: 5.3 x 25m. - Kết cấu: 6 tầng. - Hợp đồng thuê: 190 triệu/ tháng. - Tuyến đường lớn, rất hiếm nhà bán trên khu vực. - Giá bán: 70 tỷ TL. - Liên hệ ngay: [phone_number] Tư Hậu.",Nhà,Hồ Chí Minh,1,Bến Nghé,Đông Du,,35307392652,127.28,5.0,5.3,,,4.0,2.0,,,2026-03-13T06:26:20.848000,10.764193,106.707419,False
"Duy Nhất Căn Hộ 2PN2WC Căn Góc / View Sông / 4,7 tỷ / The Beverly /Vinhomes Grand Park","Hàng Hiếm căn hộ 2PN2WC / 4,7 tỷ / The Beverly - Thông tin căn hộ. + Căn hộ 2PN2WC căn gốc 2 view thoáng. + Diện tích : 80 m2 + Tấng cao view sông mang đến thịnh vượng , tài lôc đến giá chủ . + Giá gốc chủ nhà gần 5,2 tỷ chủ nhà sang nhượng nhanh giá 4,7 tỷ bao thuế phí chuyển nhượng . + hỗ trợ khách hàng nếu mua ngân hàng. - Khu căn hộ The Beverly khu căn hộ cao với những tiện ích ngay chân tòa nhà khong phải đi đâu . Trường học quốc tế , công viên 36 ha , Trung tâm mua sắm Vinhomes. - Dự án Vinhomes Grand Park tiện ích All - IN - ON Khu độ thị Văn Minh - Lịch sự - An Ninh -..... Quý anh chị quan tâm nhắn tin trực tiếp hoặc gọi điện ngay cho em [phone_number] để hỗ trợ đi xem nhà trực tiếp .",Căn hộ chung cư,Hồ Chí Minh,Thủ Đức,Long Thạnh Mỹ,,The Beverly – Vinhomes Grand Park,8273944833,76.66,7.0,,,,2.0,2.0,,,2025-07-29T09:06:26.883000,10.848284,106.746268,False
"Bán nhà hẻm đẹp gần mặt tiền Nguyễn Tri Phương phường 4 quận 10, DT: 7.5x15m, 2 lầu ST, giá 17 tỷ","Bán nhà hẻm đẹp gần mặt tiền đường Nguyễn Tri Phương phường 4 quận 10, DT: 7.5x15m, trệt 2 lầu ST, giá 17 tỷ. Tọa lạc trong khu dân cư sang trọng, văn minh, dân trí cao, không ngập nước, không lấn chiếm buôn bán, đường trước nhà thông thoáng, rộng rãi, xe cộ ra vào thoải mái, xung quanh có nhiều tòa nhà, cao ốc văn phòng lớn, ngay phố ẩm thực, kinh doanh sầm uất...vị trí trọng điểm ngay lõi trung tâm thành phố, tiềm năng tăng giá cao, thích hợp để ở, làm văn phòng hoặc kinh doanh, cho thuê hiệu quả. Liên hệ xem nhà: [phone_number] Phú.",Nhà,Hồ Chí Minh,10,4,Nguyễn Tri Phương,,17266244493,108.89,3.0,,,,3.0,4.0,,,2026-01-22T21:30:51.227000,10.76996,106.678488,False
Biệt thự/Nhà liền kề Trung tâm Bắc Kạn,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bắc Kạn,Trung tâm,,,,3111154787,116.83,2.0,,,,3.0,1.0,,,,22.153927,105.824889,True
"Rổ hàng căn 1-2-3PN EcoXuan Chủ đầu tư - hướng nam mát mẻ - giá từ 1,58 tỷ/căn","Rổ hàng căn 1-2-3PN EcoXuan Chủ đầu tư - hướng nam mát mẻ - giá từ 1,58 tỷ/căn Tiện ích hồ bơi, gym,spa đầy đủ Diện tích đa dạng từ 47-86m2 Bàn giao cơ bản cao cấp Nhà mới 100% Sổ sẵn bao sang tên Liên hệ PKD CDT xem nhà: [phone_number]",Căn hộ chung cư,Bình Dương,Thuận An,An Phú,,An Phú Residence,1687329957,45.4,7.0,,,,2.0,1.0,Bắc,Nam,2025-10-18T02:39:38.651000,10.96743,106.651845,False
"Bán nhà Lô góc mặt phố An Dương Vương, Phú Xá, Phú Thượng - 80M2 - mt:5.6 - nhỉnh 20 Tỷ","Bán nhà Lô góc mặt phố An Dương Vương, Phú Thượng - 80M2 - mt:5.6 - nhỉnh 20 Tỷ View sông hồng, sẵn nhà dân xây khung cột chắc chắn, ô chờ thang máy, kiểu biệt thự sân vườn, sân để ô tô. Ngõ thông Phú Xá, gần Công an phường, ủy ban phường, Ciputra, cấp 1,2,3 Phú Thượng. Phù hợp mua ở rộng rãi, đầu tư giữ tiền, khu vực nhiều tiềm năng tăng giá. Sổ đỏ chính chủ, giao dịch ngay. Alo trực tiếp em Tú Đời Thường để xem nhà [phone_number] Hỗ trợ 24/7 ( cam kết thông tin thật 100%)",Nhà,Hà Nội,Tây Hồ,Phú Thượng,An Dương Vương,,16983443375,76.92,5.0,,,,5.0,4.0,,,2025-06-20T06:41:16.579000,21.086258,105.823435,False
"1,1 tỷ/căn - The Win City Đức Hòa Long An - CK đến 5%, Hỗ trợ LS 0% ân hạn gốc 24T - Gói NT 150tr","* Thủ tục mua căn hộ khu đô thị The Win City: - Booking giữ chỗ lấy quyền ưu tiên chọn căn đẹp: 20tr/booking. - Tiền giữ chỗ được hoàn trả nếu không mua trong ngày mở bán. - Thời gian mở bán dự kiến: 30/11/2025. * Thông tin giá bán và chính sách bán hàng dự kiến: - Giá bán F0 dự kiến 32tr/m² tương đương 1.1 tỷ/căn. - Diện tích đa dạng: Căn hộ Studio 35m² - 1PN 40m² - 1PN + 50m² - 2PN 60m² - 3PN 80m². - Thanh toán 175tr đến khi nhận nhà. - Chiết khấu đến 5% giá trị căn hộ - Tặng gói thiết kế nội thất 150tr - Tặng 2 chỉ vàng SJC. - Ngân hàng bảo lãnh vay: Vietcombank & Vietinbank. - Thời gian vay: 30 năm - Hạn mức vay đến 70% giá trị căn hộ - Có ân hạn nợ gốc và lãi suất đến khi nhận nhà. - Mua trực tiếp từ CĐT: Liên danh Thắng Lợi Home - Cty Cp Gỗ An Cường - Cty Cp Xây dựng Central. * Các yếu tố tăng giá và tính thanh khoản cao tại khu đô thị The Win City. - Nằm ngay trung tâm thủ phủ Khu Công Nghiệp tại Đức Hòa Long An: Khu đô thị The Win City nằm ngay trung tâm với hơn 39 cụm công nghiệp lớn tại Đức Hòa Long An (cũ) = Nhu cầu ở và thuê ở cao. - Dự án có quy mô rộng bậc nhất tại khu tây Sài Gòn và tại Long an: Quy mô hơn 13.2 hecta với 17 khối tháp căn hộ cap cấp cao từ 14 tầng đến 42 tầng. Dự án sẽ cung cấp ra thị trường hơn 6.000 căn hộ cao cấp với quy mô dân số dự kiến hơn 10.000 người. - Thừa hưởng sức bật giá từ các dự án giao thông trọng điềm trong bán kính 10km: + Dự án cách nút giao Vành Đai 3 khoảng 6km: Tháng 4/2026 lưu thông toàn tuyến Vành Đai 3. + 25 phút kết nối sân bay Tân Sơn Nhất, quận Phú Nhuận, Gò Vấp... + Dự án có vị trí mặt tiền Trần Văn Giàu kết nối 1 mạch qua Bình Tân, quận 6, quận 5, quận 10. + 10 phút kết nối vào đại lộ Võa Văn Kiệt di chuyển về hầm Thủ Thiêm. + 15 phút kết nối vào đường Nguyễn Văn Linh đến Phú Mỹ Hưng quận 7, Nhà Bè, Cần Giờ. + 15 phút kết nối vào cao tốc Tp. HCM - Trung Lương; cao tốc Bắc Nam; Vành Đai 4. - Tiện ích nội khu cao cấp bậc nhất tại Long An: Trường quốc tế, TT y tế, hồ bơi chuẩn Olympic, TTTM, khu hành chính cao cấp, khách sạn hạng sang,...",Căn hộ chung cư,Long An,Đức Hòa,Đức Hòa Hạ,Tỉnh Lộ 10,The Win City,1164160573,36.7,7.0,,,,1.0,1.0,Tây Bắc,Đông Bắc,2025-10-28T15:28:15.877000,10.697367,106.252149,False
Bán chung cư Trần Hưng Đạo 97.74m² 7 tầng - 3.8 tỷ - căn hộ 2 phòng ngủ trung tâm Quận 1,"- Diện tích: 97.74m². - Kết cấu: Căn hộ tầng 7, 2 phòng ngủ, 2 toilet, 2 phòng tắm. - Tiện ích: Đầy đủ nội thất, không phí quản lý, an ninh tốt. - Địa chỉ: Mặt tiền Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1. - Giá bán: 3.8 tỷ. - Ưu điểm: Vị trí trung tâm vàng, gần Đại học Văn Lang, chợ Bến Thành, phố Tây Bùi Viện, siêu thị, bệnh viện. Căn hộ góc view đẹp, sổ hồng riêng, giao thông thuận tiện kết nối đa quận. - Mã sản phẩm: #73089.",Căn hộ chung cư,Hồ Chí Minh,1,Phạm Ngũ Lão,,,8752742980,91.92,7.0,,,,3.0,2.0,,,2025-10-28T17:24:04.448000,10.781429,106.694604,False
Biệt thự/Nhà liền kề Dĩ An Bình Dương,Coverage row generated from market priors and Hugging Face schema.,Biệt thự/Nhà liền kề,Bình Dương,Dĩ An,,,,4817239501,60.0,2.0,,,,2.0,3.0,,,,10.999718,106.651403,True
Chủ bán đất ở phủ hồng khu dân cư 11.2x45.5m giá tốt 2.75 tỷ (~ 5.5 triệu/m2),"Chủ cần bán đất Phước An, Nhơn Trạch. Lô góc, đường ô tô 1 sẹc Hùng Vương, gần các KCN Nhơn Trạch. Ngang 11.2m x dài 45.5m. Diện tích: 500m2 CLN. Giá bán nhanh: 2.75 tỷ (~ 5.5 triệu/m2). LH: Đất vị trí đẹp, tiềm năng sinh lời cao trong thời gian tới trước những thông tin tốt của thị trường, phù hợp cả đầu tư ngắn hạn hoặc dài hạn. Bán kính 1km đầy đủ tiện ích Trường học các cấp, UBND, Siêu thị, chợ, dịch vụ tiện ích... Hạ tầng giao thông kết nối hoàn thiện: Cầu Nhơn Trạch thuộc Vành Đai 3 đã khánh thành 19/08/2025, kết nối Nhơn Trạch và TPHCM chỉ 15 phút. Vành Đai 3, đường 25C ra sân bay Long Thành đang triển khai thực hiện toàn diện đồng bộ. Cao tốc Bến Lức - Long Thành kết nối Vành Đai 3 cùng với các trục đường chính Hùng Vương, Tôn Đức Thắng mở rộng lộ giới giao thông sẵn sàng cho các nhu cầu di chuyển phát triển kinh tế liên vùng TPHCM - Nhơn Trạch - sân bay Long Thành.. Đặc biệt: Bên em nhận tìm đất theo nhu cầu, ra hàng nhanh, nền thổ cư, đất công, có hàng ngộp giá tốt em nhắn riêng cho Khách mua đầu tư. Chúc Khách luôn đầu tư thành công và hồng phát,",Đất,Đồng Nai,Nhơn Trạch,Phước An,Hùng Vương,,16511611124,526.59,0.0,11.2,,,0.0,0.0,,,2026-01-02T22:07:21.835000,10.97094,106.83425,False
"Bán nhà Tân Mai (cạnh hồ Đền Lừ) - 5 tầng thang máy hiện đại, DT 56 m2, đường trước nhà 20m.","Phân lô phố Tân Mai - Nguyễn Chính, Hồ Đền Lừ. Trước nhà đỗ 5 ôtô thoải mái. Lòng đường 20m vỉa hè 6m. - Trước mặt và bên cạnh nhà đều có dự án mở đường rất rộng, tương lai giá trị tăng cao. Nhà xây đúng theo chỉ giới, giấy phép xây dựng xịn. - DT 56m² (CN 54m²) - 5 tầng thang máy - ôtô để vỉa hè 24/24, buôn bán kinh doanh sầm uất. - Hàng xóm Louis City, khu liền kề Ao Sào, cạnh con đường mở nối từ hồ Đền Lừ - KĐT Ao Sào đang khởi công tương lai đi thẳng 100m ra mặt hồ Đền Lừ. - Giá 17.2 Tỷ có thương lượng LH: [phone_number]",Nhà,Hà Nội,Hoàng Mai,Thịnh Liệt,Tân Mai,,11750294773,57.55,4.0,,,,4.0,6.0,,,2026-03-29T07:51:10.335000,21.019501,105.850056,False
